month,total_orders,total_revenue
2020-01,82,25580.940000000002
2020-02,74,25058.519999999993
2020-03,60,19623.909999999996
2020-04,59,18013.65
2020-05,70,21556.750000000007
2020-06,82,21938.619999999995
2020-07,71,18492.300000000003
2020-08,58,16309.850000000004
2020-09,61,18229.129999999994
2020-10,78,19144.65
2020-11,70,24055.339999999993
2020-12,61,21709.359999999997
2021-01,66,20901.230000000003
2021-02,55,15348.97
2021-03,66,16232.529999999993
2021-04,72,21832.57999999999
2021-05,59,14681.170000000004
2021-06,79,23111.910000000003
2021-07,60,17717.340000000004
2021-08,60,18783.829999999998
2021-09,81,23763.910000000007
2021-10,60,19965.159999999996
2021-11,77,20513.549999999996
2021-12,69,21703.339999999997
2022-01,69,19331.070000000007
2022-02,56,14828.169999999996
2022-03,63,17800.390000000003
2022-04,62,15638.079999999996
2022-05,61,18907.710000000003
2022-06,65,17605.570000000007
2022-07,85,25054.36999999999
2022-08,71,23509.87
2022-09,73,19838.260000000002
2022-10,75,25588.2
2022-11,63,19733.19
2022-12,63,20354.830000000005
2023-01,67,18570.040000000008
2023-02,68,17972.37
2023-03,67,18254.949999999993
2023-04,55,16183.609999999999
2023-05,62,18925.6
2023-06,55,16502.38
2023-07,82,22507.249999999993
2023-08,81,24905.16
2023-09,68,20033.309999999998
2023-10,79,19906.07
2023-11,64,19837.929999999993
2023-12,58,16678.92
2024-01,73,23817.039999999997
2024-02,57,14738.210000000003
2024-03,80,24893.209999999992
2024-04,61,17538.50999999999
2024-05,80,23113.599999999988
2024-06,60,19948.29
2024-07,62,18299.85
2024-08,59,17259.799999999992
2024-09,56,15379.35
2024-10,58,17022.72
2024-11,62,19785.35
2024-12,61,18088.329999999998
2025-01,69,20409.979999999992
2025-02,52,16560.99
2025-03,69,18754.149999999998
2025-04,66,18739.929999999997
